Date,Round,Home_Team,Away_Team,Home_Goals,Away_Goals,Result,Home_Possesso_palla,Home_Parate,Home_Rigori,Home_Tiri_Totali,Home_Tiri_in_porta,Home_Tiri_in_porta_da_punizione,Home_Tiri_fuori,Home_Tiri_fuori_da_punizione,Home_Tiri_in_porta_da_area,Home_Tiri_in_porta_su_azione_da_palla_inattiva,Home_Tiri_fuori_su_azione_da_palla_inattiva,Home_Falli_commessi,Home_Falli_subiti,Home_Pali,Home_Occasioni_da_gol,Home_Assist_Totali,Home_Fuorigioco,Home_Corner,Home_Passaggi_riusciti,Home_Accuratezza_passaggi,Home_Ammonizioni,Home_Doppie_ammonizioni,Home_Espulsioni,Home_Passaggi_chiave,Home_Recuperi,Home_Ripartenze_da_Recupero,Home_Attacchi_centrali,Home_Attacchi_a_destra,Home_Attacchi_a_sinistra,Away_Possesso_palla,Away_Parate,Away_Rigori,Away_Tiri_Totali,Away_Tiri_in_porta,Away_Tiri_in_porta_da_punizione,Away_Tiri_fuori,Away_Tiri_fuori_da_punizione,Away_Tiri_in_porta_da_area,Away_Tiri_in_porta_su_azione_da_palla_inattiva,Away_Tiri_fuori_su_azione_da_palla_inattiva,Away_Falli_commessi,Away_Falli_subiti,Away_Pali,Away_Occasioni_da_gol,Away_Assist_Totali,Away_Fuorigioco,Away_Corner,Away_Passaggi_riusciti,Away_Accuratezza_passaggi,Away_Ammonizioni,Away_Doppie_ammonizioni,Away_Espulsioni,Away_Passaggi_chiave,Away_Recuperi,Away_Ripartenze_da_Recupero,Away_Attacchi_centrali,Away_Attacchi_a_destra,Away_Attacchi_a_sinistra
23/12/2020,14,SPEZIA,GENOA,1,2,2,65%,3,0,8,5,0,2,0,3,0,0,19,19,0,4,1,1,4,532,83%,3,0,0,2,30,,8,12,11,35%,3,1,7,6,1,1,0,6,1,0,20,19,0,5,1,4,2,203,68%,4,0,0,1,47,,12,7,8
03/01/2021,15,ATALANTA,SASSUOLO,5,1,1,49%,3,0,21,8,0,12,0,7,0,2,13,9,1,7,4,1,8,328,78%,3,0,0,4,51,,14,18,17,51%,2,0,9,4,0,3,0,3,0,0,9,11,0,3,0,1,4,420,82%,1,0,0,2,62,,10,10,16
03/01/2021,15,INTER,CROTONE,6,2,1,48%,1,0,14,8,0,5,0,8,0,2,9,7,0,8,4,3,3,403,85%,0,0,0,3,21,,14,14,18,52%,3,1,9,4,1,3,0,4,0,0,7,8,0,6,1,0,3,450,87%,3,0,0,2,37,,7,13,10
03/01/2021,15,FIORENTINA,BOLOGNA,0,0,X,45%,4,0,10,1,0,9,0,1,0,0,8,10,1,3,0,2,8,362,85%,4,0,0,1,33,,8,7,16,55%,1,0,6,4,0,1,0,1,0,0,11,8,0,5,0,1,5,432,87%,3,0,0,3,48,,7,8,8
03/01/2021,15,BENEVENTO,MILAN,0,2,2,51%,0,1,24,7,0,7,1,5,0,1,9,14,1,8,0,1,12,433,87%,1,0,0,7,27,,12,23,22,49%,6,1,10,5,1,3,0,3,0,0,14,9,3,6,1,2,4,276,82%,3,0,1,4,57,,11,14,10
03/01/2021,15,PARMA,TORINO,0,3,2,59%,3,0,15,6,0,9,0,4,3,3,20,15,0,8,0,1,9,418,82%,2,0,0,4,45,,18,5,4,41%,6,0,14,8,0,6,3,7,1,0,16,18,0,7,3,0,3,303,77%,2,0,0,4,53,,14,6,3
19/12/2020,13,PARMA,JUVENTUS,0,4,2,37%,3,0,9,5,1,4,0,3,1,0,8,10,0,4,0,4,4,341,86%,0,0,0,3,44,,9,8,5,63%,5,0,14,7,0,5,0,7,1,2,10,8,0,10,4,3,9,615,92%,1,0,0,3,33,,21,6,10
03/01/2021,15,ROMA,SAMPDORIA,1,0,1,64%,2,0,16,8,0,4,0,7,1,1,18,13,1,12,1,2,9,509,85%,3,0,0,10,54,,13,12,17,36%,5,0,4,2,0,0,0,1,1,0,14,17,0,2,0,7,2,222,69%,5,0,0,2,45,,10,9,6
03/01/2021,15,JUVENTUS,UDINESE,4,1,1,60%,2,0,16,10,0,3,0,7,1,0,14,7,0,7,4,1,7,609,91%,3,0,0,3,37,,13,13,13,40%,6,0,10,7,0,1,0,7,0,0,8,13,3,4,0,0,1,321,83%,0,0,0,2,31,,6,12,11
03/01/2021,15,SPEZIA,HELLAS VERONA,0,1,2,54%,2,0,6,1,0,5,0,1,0,3,22,10,0,4,0,1,3,314,72%,4,1,0,2,54,,23,17,17,46%,1,0,11,4,0,5,0,4,0,1,10,21,0,7,1,9,5,265,70%,0,0,0,4,72,,8,12,26
20/12/2020,13,CAGLIARI,UDINESE,1,1,X,55%,3,0,10,3,1,4,0,1,0,0,13,13,0,2,0,0,5,404,82%,2,0,0,0,41,,17,14,21,45%,2,0,13,5,0,6,0,5,0,0,13,12,0,7,1,2,8,358,84%,1,0,0,4,48,,17,19,14
20/12/2020,13,SASSUOLO,MILAN,1,2,2,67%,3,0,13,6,0,5,0,3,0,0,11,11,0,5,0,0,6,542,90%,1,0,0,4,31,,9,18,10,33%,4,0,11,5,2,4,0,2,0,0,12,11,0,5,2,4,4,221,78%,3,0,0,2,42,,11,13,10
19/12/2020,13,FIORENTINA,HELLAS VERONA,1,1,X,60%,2,1,7,1,1,4,0,1,0,1,10,16,0,2,0,2,4,312,72%,2,0,0,1,67,,9,18,18,40%,0,1,5,3,1,2,0,2,0,1,16,10,0,2,0,2,1,174,60%,2,0,0,1,77,,5,10,7
19/12/2020,13,SAMPDORIA,CROTONE,3,1,1,44%,1,0,10,4,0,2,0,3,1,1,14,15,0,5,2,3,3,286,76%,2,0,0,2,64,,10,15,13,56%,1,1,6,3,1,2,0,2,0,0,15,14,0,5,0,0,1,446,80%,2,0,0,3,33,,10,11,11
20/12/2020,13,TORINO,BOLOGNA,1,1,X,54%,6,0,13,5,1,3,0,3,0,3,16,17,0,3,0,3,4,342,80%,1,0,0,2,54,,6,14,15,46%,4,0,14,9,0,3,0,4,0,1,17,16,1,5,1,2,8,315,80%,3,0,0,1,37,,10,11,13
20/12/2020,13,BENEVENTO,GENOA,2,0,1,40%,2,1,13,3,1,7,2,3,0,4,9,22,0,2,1,2,6,242,74%,1,0,0,0,57,,7,14,11,60%,1,0,8,2,0,4,0,0,0,2,22,9,0,1,0,2,5,372,81%,3,0,0,0,42,,8,12,11
